transaction_id,user_id,account_age_days,transaction_amount,transaction_type,merchant_category,country,city,device_type,is_fraud,credit_score,income,balance,num_previous_transactions,avg_monthly_spend,payment_method,hour_of_day,day_of_week,lat,lon,session_duration,num_items,discount_applied,loyalty_points,risk_score,employment_status,age,gender,tenure_years,customer_segment
1,100229,596,18.68,purchase,grocery,US,Miami,mobile,0,510,46015.69,-5000.0,18,4948.88,wallet,17,5,25.73252,-80.20664,93.0,19,0,3513,27.7,employed,48,female,1.86,premium
2,100337,283,13.02,transfer,utilities,US,Miami,mobile,0,521,32300.17,-5000.0,9,3312.15,card,16,4,25.77527,-80.19511,10.0,19,0,3959,20.8,student,30,female,1.2,standard
3,100327,273,11.78,purchase,fashion,ES,Madrid,mobile,0,532,22154.61,24063.87,5,1470.79,card,21,6,40.37674,-3.67189,33.8,4,0,899,19.3,retired,32,male,0.27,basic
4,100416,888,11.03,purchase,services,AR,Buenos Aires,mobile,0,470,33540.87,-5000.0,36,3064.87,card,20,4,-34.61486,-58.39467,20.9,16,0,3952,18.4,unemployed,31,female,3.07,standard
5,100306,1258,8.61,purchase,services,US,Miami,mobile,1,584,19038.53,776.86,35,755.3,bank_transfer,14,1,25.80466,-80.14675,10.0,5,0,713,15.5,retired,62,male,3.44,basic
6,100131,163,21.08,transfer,utilities,MX,Mexico City,mobile,1,449,36545.06,23327.11,1,1272.35,card,17,2,19.38741,-99.12377,23.3,2,0,1342,30.6,retired,26,male,0.64,standard
7,100005,308,17.22,transfer,electronics,ES,Madrid,mobile,0,467,47563.28,45629.12,11,2188.19,wallet,15,3,40.42521,-3.67339,45.7,13,0,2146,26.0,employed,24,male,1.26,premium
8,100431,1169,45.44,withdrawal,services,ES,Madrid,mobile,1,521,121345.37,-2578.59,44,5000.0,card,6,5,40.43698,-3.73422,22.6,16,1,2806,60.3,employed,64,non_binary,3.14,vip
9,100434,1999,9.35,payment,utilities,CL,Santiago,mobile,0,509,23542.12,-5000.0,70,2768.23,card,12,1,-33.47205,-70.68501,75.4,13,0,3701,16.4,self_employed,30,male,5.6,basic
10,100134,1316,60.75,purchase,grocery,US,Miami,desktop,1,485,61339.09,56007.58,33,5000.0,bank_transfer,13,1,25.75566,-80.1838,23.6,29,0,5355,73.9,unemployed,33,female,3.88,premium
11,100276,621,8.64,purchase,health,CL,Santiago,desktop,1,479,25420.79,17592.08,21,522.71,cash,10,0,-33.46724,-70.69931,15.2,4,0,759,18.5,employed,29,female,1.63,basic
12,100264,1764,11.19,purchase,utilities,MX,Mexico City,mobile,1,550,33038.58,-5000.0,49,2963.98,bank_transfer,12,4,19.4295,-99.15377,15.5,18,0,1687,18.6,self_employed,52,male,4.89,standard
13,100034,1574,21.61,purchase,health,CL,Santiago,desktop,0,516,39513.54,-210.37,54,2720.15,card,12,1,-33.3993,-70.68356,32.8,12,0,3465,26.3,employed,51,male,4.22,standard
14,100274,127,24.77,purchase,electronics,AR,Buenos Aires,mobile,1,496,98582.24,83025.56,3,5000.0,wallet,10,0,-34.60976,-58.37334,25.4,22,0,4121,35.1,employed,27,male,0.0,vip
15,100489,930,11.58,payment,services,CL,Santiago,tablet,0,523,25803.56,-67.63,23,3197.42,bank_transfer,20,6,-33.46115,-70.70637,10.1,10,0,3560,14.1,employed,28,female,3.43,standard
16,100011,802,53.36,refund,utilities,ES,Madrid,mobile,0,651,80643.39,43211.32,24,5000.0,card,8,0,40.42378,-3.69104,20.8,22,0,6052,69.9,self_employed,56,female,2.18,vip
17,100378,680,34.03,refund,utilities,ES,Madrid,mobile,1,555,72118.85,60875.57,22,3037.3,cash,16,6,40.42562,-3.66421,31.3,9,0,3944,54.4,employed,64,male,1.36,vip
18,100467,85,22.37,purchase,utilities,CO,Bogota,desktop,0,523,81728.54,5494.47,5,3975.53,card,15,4,4.70821,-74.08308,36.5,20,0,2566,27.2,employed,33,male,0.0,vip
19,100425,705,11.76,transfer,fashion,CO,Bogota,mobile,0,566,29759.62,26727.62,20,1802.57,card,17,0,4.7316,-74.07706,11.5,8,1,1648,19.3,employed,61,male,2.24,standard
20,100241,3100,27.48,purchase,grocery,PE,Lima,desktop,0,500,71814.54,-5000.0,90,4600.16,cash,17,3,-12.03063,-77.03412,72.2,21,0,5727,41.4,self_employed,24,female,6.0,premium
21,100093,211,26.23,purchase,grocery,AR,Buenos Aires,mobile,1,582,31325.43,-3703.79,9,2254.14,bank_transfer,20,6,-34.58851,-58.4039,21.3,15,1,2423,36.9,student,51,female,1.14,standard
22,100310,82,14.33,purchase,health,MX,Mexico City,mobile,0,461,40256.8,24782.5,4,5000.0,wallet,15,6,19.40931,-99.12278,27.1,17,0,6922,22.4,unemployed,33,male,0.43,standard
23,100189,163,42.43,transfer,grocery,CL,Santiago,mobile,1,521,36025.41,-4829.12,6,2287.98,card,17,3,-33.47854,-70.66692,21.5,13,0,1348,56.6,self_employed,28,male,0.2,standard
24,100277,109,9.94,purchase,electronics,ES,Madrid,mobile,0,503,17250.0,4619.88,5,1631.59,card,18,4,40.44928,-3.66882,21.1,14,0,1656,17.1,employed,59,female,0.0,basic
